3,3C:A3:08:AD:EC:BE,-71
1,3C:A3:08:AD:F3:BA,-61
2,3C:A3:08:AD:EC:98,-68
3,3C:A3:08:AD:EC:BE,-72
1,3C:A3:08:AD:F3:BA,-64
2,3C:A3:08:AD:EC:98,-71
3,3C:A3:08:AD:EC:BE,-72
1,3C:A3:08:AD:F3:BA,-61
2,3C:A3:08:AD:EC:98,-68
3,3C:A3:08:AD:EC:BE,-68
1,3C:A3:08:AD:F3:BA,-64
2,3C:A3:08:AD:EC:98,-73
3,3C:A3:08:AD:EC:BE,-68
